Merek,Varian,Model,Tahun,Jarak tempuh,Tipe bahan bakar,Warna,Transmisi,Sistem Penggerak,Tipe bodi,Kapasitas mesin,Fitur tambahan,Tipe Penjual,Lokasi,Harga,Nama Bursa Mobil
Toyota,V Luxury,Innova,2015,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Minibus,>1.500 - 2.000 cc,"['GPS', 'Kamera Belakang', 'Bluetooth Audio', 'Sensor Parkir', 'Airbag', 'Electric Window']",Individu,"Nanggalo, Padang Kota, Sumatra Barat",Rp 250.000.000,
Toyota,G,Calya,2016,40.000-45.000 km,Bensin,Hitam,Manual,4X2,MPV,>1.000 - 1.500 cc,"['Airbag', 'Electric Window', 'Jok kulit', 'Sensor Parkir', 'Kamera Belakang']",Individu,"Jekan Raya, Palangkaraya Kota, Kalimantan Tengah",Rp 130.000.000,
Toyota,Lain-lain,Lain-lain,1995,40.000-45.000 km,Bensin,Hitam,Manual,All Wheel Drive (AWD),,>1.500 - 2.000 cc,,Individu,"Berbah, Sleman Kab., Yogyakarta D.I.",Rp 42.000.000,
Honda,Lain-lain,Prestige,1987,40.000-45.000 km,Bensin,Hitam,Manual,Rear Wheel Drive (RWD),Sedan,>1.500 - 2.000 cc,Electric Window,Individu,"Weru, Sukoharjo Kab., Jawa Tengah",Rp 18.000.000,
Chevrolet,LT,Spin,2013,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Minibus,>1.000 - 1.500 cc,"['Airbag', 'Electric Window', 'Jok kulit', 'Sensor Parkir']",Individu,"Lemahwungkuk, Cirebon Kota, Jawa Barat",Rp 88.000.000,
Daihatsu,R 1.3 DLX,Xenia,2014,40.000-45.000 km,Bensin,Hitam,Manual,Rear Wheel Drive (RWD),Minibus,>1.000 - 1.500 cc,"['Airbag', 'Bluetooth Audio', 'Electric Window', 'Sensor Parkir']",Individu,"Mergangsan, Yogyakarta Kota, Yogyakarta D.I.",Rp 124.000.000,
Mitsubishi,Pick Up,T120SS,2014,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Pick-up,>1.000 - 1.500 cc,,Individu,"Lima Puluh, Pekanbaru Kota, Riau",Rp 50.000.000,
Honda,2.0,CR-V,2005,40.000-45.000 km,Bensin,Hitam,Manual,,Minibus,>1.500 - 2.000 cc,,Individu,"Kuta Selatan, Kab. Badung, Bali",Rp 95.000.000,
Honda,i-DSI,Jazz,2005,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Compact & City Car,>1.000 - 1.500 cc,"['Electric Window', 'Jok kulit']",Individu,"Jaten, Karanganyar Kab., Jawa Tengah",Rp 80.000.000,
Daihatsu,Lain-lain,Gran max,2015,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Minibus,>1.000 - 1.500 cc,,Individu,"Wiyung, Surabaya Kota, Jawa Timur",Rp 103.000.000,
Nissan,Lain-lain,Grand livina,2013,40.000-45.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),MPV,>1.500 - 2.000 cc,,Individu,"Bungus Teluk Kabung, Padang Kota, Sumatra Barat",Rp 110.000.000,
Toyota,Lain-lain,Kijang Pick-Up,2001,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Pick-up,>1.500 - 2.000 cc,,Individu,"Sukmajaya, Depok Kota, Jawa Barat",Rp 42.500.000,
Toyota,S,Avanza,2011,40.000-45.000 km,Bensin,Hitam,Manual,Rear Wheel Drive (RWD),MPV,>1.000 - 1.500 cc,"['Sensor Parkir', 'Electric Window']",Individu,"Banguntapan, Bantul Kab., Yogyakarta D.I.",Rp 120.000.000,
Suzuki,5 MT,Jimny,1992,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Jeep,<1.000 cc,,Individu,"Payakumbuh Selatan, Payakumbuh Kota, Sumatra Barat",Rp 37.500.000,
Datsun,Panca T,Go+,2014,40.000-45.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),MPV,>1.000 - 1.500 cc,"['Sensor Parkir', 'Electric Window']",Individu,"Sidoarjo, Sidoarjo  Kab., Jawa Timur",Rp 81.000.000,
Daihatsu,Lain-lain,Gran max Pick-up,2018,40.000-45.000 km,Bensin,Hitam,Manual,4X2,Pick-up,>1.500 - 2.000 cc,Bluetooth Audio,Individu,"Kediri, Tabanan Kab., Bali",Rp 108.000.000,
